SIGLA	NOME CONFERÊNCIA	Qualis
CBSF	Congresso Brasileiro de Sistemas Fuzzy	B4
CC	International Conference on Compiler Construction	B2
CCCG	Canadian Conference on Computational Geometry	B1
CCECE	Canadian Conference on Electrical and Computer Engineering	B3
CCGrid	IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing	A1
CCNC	Annual IEEE Consumer Communications & Networking Conference	A2
CDC	IEEE Conference on Decision and Control	B1
CDVE	International Conference on Cooperative Design, Visualization, and Engineering	B3
CEC	IEEE Congress on Evolutionary Computation	A1
CESI	3rd International Workshop on Conducting Empirical Studies in Industry (CESI) in conjunction with the 37th International Conference on Software Engineering (ICSE)	C
CF	ACM International Conference on Computing Frontiers	B1
CGC	"International Conference on Cloud and Green Computing "	B1
CGO	International Symposium on Code Generation and Optimization	A2
CHASE	International Workshop on Cooperative and Human Aspects of Software Engineering	B4
CHES	Conference on Cryptographic Hardware and Embedded Systems	A1
CHI	ACM Conference on Human Factors in Computing Systems	A1
CIARP	Iberoamerican Congress on Pattern Recognition	B1
CIbSE	Congresso Ibero-Americano em Engenharia de Software	B4
CIbSE	Conferencia Ibero-Americana de Software Engineering	B4
CICC	IEEE Custom Integrated Circuits Conference	A2
CICLing	International Conference on Intelligent Text Processing and Computational Linguistics	A2
CIDM	Symposium on Computational Intelligence and Data Mining	B1
CIG	IEEE Conference on Computational Intelligence and Games	A2
CIKM	ACM International Conference on Information and Knowledge Management	A1
CIMSIVP	IEEE Symposium on Computational Intelligence for Multimedia, Signal and Vision Processing	B4
CISIS	International Conference on Complex, Intelligent, and Software Intensive Systems	B1
CISTI	Iberian Conference on Information Systems and Technologies	B1
CIT	IEEE International Conference on Computer and Information Technology	B1
CIT/IUCC/DASC/PICOM	CIT, IUCC, DASC, PICOM	B4
CITS	International Conference on Computer, Information, and Telecommunication Systems	B2
CIVTS	IEEE Symposium on Computational Intelligence in Vehicles and Transportation Systems	B4
CLAIO	Latin-Ibero-American Conference on Operations Research	B5
CLCAR	Latin American Conference on High-Performance Computing	B4
CLEI	Conferencia Latinoamericana de Informática	B3
CLIHC	Latin American Conference on Human Computer Interaction	B4
CLOSER	International Conference on Cloud Computing and Services Science	A2
CloudCom	IEEE International Conference on Cloud Computing Technology and Science	A1
CLOUDCOMPUTING	IARIA International Conference on Cloud Computing, GRIDs, and Virtualization	B5
CloudNet	IEEE International Conference on Cloud Networking	B1
CLUSTER	IEEE International Conference on Cluster Computing	A2
CMSB	International Conference on Computational Methods in Systems Biology	B1
CNMAC	Congresso Nacional de Matemática Aplicada e Computacional	B5
CNSM	International Conference on Network and Service Management	A2
CobRA	International Workshop on Exploring Component-based Techniques for Constructing Reference Architectures	B5
COCOON	International Computing and Combinatorics Conference	B1
CODES+ISSS	International Conference on Hardware/Software Codesign and System Synthesis	A2
COGNISE	International Workshop on Cognitive Aspects of Information Systems Engineering	B4
COGNITIVE	IARIA International Conference on Advanced Cognitive Technologies and Applications	B5
COGSCI	Annual Meeting of the Cognitive Science Society	B2
CogSIMA	IEEE International Multi-Disciplinary Conference on Cognitive Methods in Situation Awareness and Decision Support	B1
COIN	International Workshop on Coordination, Organisations, Institutions and Norms	B4
COLING	International Conference on Computational Linguistics	A2
COLOGNETWENTE	Cologne-Twente Workshop on Graphs and Combinatorial Optimization	B3
SoCG	International Symposium on Computational Geometry	A2
CompIMAGE	International Symposium CompIMAGE	B3
COMPSAC	Annual International Computers, Software & Applications Conference	A2
CompSysTech	International Conference on Computer Systems and Technologies	B2
COMSNETS	International Conference on COMmunication Systems & NETworkS	A2
CONCUR	International Conference on Concurrency Theory	A2
CONEXT	Conference on Emerging Network Experiment and Technology	A1
CONFIRM	International Conference on Information Resources Management	B4
CONIELECOMP	International Conference on Electronics, Communications and Computers	B4
CONTECSI	International Conference on Information Systems and Technology Management	B5
CONTEXT-BPM	International Workshop on Context for Business Process Management	B5
CORAL	International Workshop on Emerging COgnitive Radio Applications and aLgorithms	B4
COSN	Conference on Online Social Networks	B2
CP	International Conference on Principles and Practice of Constraint Programming	A2
CPM	Annual Symposium on Combinatorial Pattern Matching	B1
CRIWG	International Conference on Collaboration and Technology	B3
CSA	International Conference on Computer Sciences and Applications	B4
CSC	" WC International Conference on Scientific Computing"	B5
CSCW	ACM Conference on Computer Supported Cooperative Work & Social Computing	A1
CSCWD	IEEE International Conference on Computer Supported Cooperative Work in Design	B1
CSE	International Conference on Computational Science and Engineering	B1
CSEDU	International Conference on Computer Supported Education	B3
CSEE&T	Conference on Software Engineering Education and Training	B1
CSIIRW	Annual Cyber Security and Information Intelligence Research Workshop	B2
CSMR	European Conference on Software Maintenance and Reengineering	A2
CVPR	IEEE Conference on Computer Vision and Pattern Recognition	A1
CVPRW	2015 IEEE Conference on Computer Vision and Pattern Recognition Workshops	C
DAC	Design Automation Conference	A1
DAIS	International Conference on Distributed Applications and Interoperable Systems	B2
DaMNet	Workshop on Data Mining in Networks	B4
DAPSE	International Workshop on Data Analysis Patterns in Software Engineering	B5
DAS	International Workshop on Document Analysis Systems	B1
DASCCA	the First International Conference	C
DATAANALYTICS	IARIA International Conference on Data Analytics	B5
DATE	Design, Automation and Test in Europe Conference and Exhibition	A1
DaWaK	International Conference on Big Data Analytics and Knowledge Discovery	B1
DBKDA	IARIA International Conference on Advances in Databases, Knowledge, and Data Applications	B5
DCAI	International Symposium on Distributed Computing and Artificial Intelligence	B2
DCC	Data Compression Conference	B1
DCCW	ACM Workshop on Distributed Cloud Computing	B4
DCM	International Workshop on Developments in Computational Models	B5
DCOSS	International Conference on Distributed Computing in Sensor Systems	A2
DCSS	SPIE Defence + Secutity	B5
