SIGLA   NOMECONFERENCIA        Qualis
BRASNAM	Brazilian Workshop on Social Network Analysis and Mining	B5
BRC	ISSNIP Biosignals and Biorobotics Conference	B4
BRESCI	Brazilian e-Science Workshop	B4
BSB	Brazilian Symposium on Bioinformatics	B3
BTAS	"IEEE International Conference on Biometrics: Theory, Applications and Systems"	A2
BWILD	International Workshop on Biometrics in the Wild	B4
C4BIE	"International Workshop on Cloud for Business	 Industry and Enterprises"	B5
CAAD	Computer-Aided Architectural Design Futures Conference	B5
CAD	International CAD Conference	B5
CADE	International Conference on Automated Deduction	A2
CADGRAPHICS	International Conference on Computer-Aided Design and Computer Graphics	B3
CAIP	International Conference on Computer Analysis of Images and Patterns	B1
CAISE	International Conference on Advanced Information Systems Engineering	A2
CALDAM	International Conference on Algorithms and Discrete Applied Mathematics	B3
CANDAR	International Symposium on Computing and Networking	B2
CANS	International Conference on Cryptology and Network Security	B1
CARE	Workshop on Collaborative Agents Research and Development	B5
CARLA	Latin American High-Performance Computing Conference	B4
CASA	Conference on Computer Animation and Social Agents	B3
CASCON	Annual International Conference on Computer Science and Software Engineering	B1
CASE	IEEE Conference on Automation Science and Engineering	B1
CASES	International Conference on Compilers Architecture and Synthesis for Embedded Systems	B1
CASON	International Conferennce on Computational Aspects of Social Networks	B1
CBI	IEEE Conference on Business Informatics	B1
CBMI	International Workshop on Content-Based Multimedia Indexing	B1
CBMS	International Symposium on Computer-Based Medical Systems	B1
CBSE	International ACM Sigsoft Symposium on Component-Based Software Engineering	B1
CBSF	Congresso Brasileiro de Sistemas Fuzzy	B4
CC	International Conference on Compiler Construction	B2
CCCG	Canadian Conference on Computational Geometry	B1
CCECE	Canadian Conference on Electrical and Computer Engineering	B1
CCGRID	IEEE/ACM International Symposium on Cluster Cloud and Grid Computing	A1
CCNC	Annual IEEE Consumer Communications & Networking Conference	B2
CCS	"ACM Symposium on Information	 Computer and Communications Security"	A1
CDC	IEEE Conference on Decision and Control	B1
CDVE	International Conference on Cooperative Design Visualization and Engineering	B3
CEC	IEEE Congress on Evolutionary Computation	A1
CEDEM	International Conference for E-Democracy and Open Government	B3
CENTERIS	Conference on ENTERprise Information Systems	B3
CF	ACM International Conference on Computing Frontiers	B1
CGC	International Conference on Cloud and Green Computing	B1
CGI	Computer Graphics International Conference	B2
CGIM	International Conference on Computer Graphics and Imaging	B5
CGO	International Symposium on Code Generation and Optimization	A2
CHASE	International Workshop on Cooperative and Human Aspects of Software Engineering	B1
CHES	Conference on Cryptographic Hardware and Embedded Systems	A1
CHI	ACM Conference on Human Factors in Computing Systems	A1
CIARP	Iberoamerican Congress on Pattern Recognition	B1
CIBCB	IEEE Conference on Computational Intelligence in Bioinformatics and Computational Biology	B2
CICC	IEEE Custom Integrated Circuits Conference	A2
CICLING	International Conference on Intelligent Text Processing and Computational Linguistics	A2
CICOMMS	Symposium on Computational Intelligence for Communication Systems and Networks	B3
CICS	Symposium on Computational Intelligence in Cyber Security	B3
CIDM	Symposium on Computational Intelligence and Data Mining	B1
CIG	IEEE Conference on Computational Intelligence and Games	A2
CIKM	ACM International Conference on Information and Knowledge Management	A1
CIMSIVP	"IEEE Symposium on Computational Intelligence for Multimedia	 Signal and Vision Processing"	B4
CISIS	International Conference on Complex Intelligent and Software Intensive Systems	B1
CISRC	Cyber Security and Information Intelligence Research Workshop	B2
CIT	IEEE International Conference on Computer and Information Technology	B1
CIT/IUCC/DASC/PICOM	CIT IUCC DASC PICOM	B4
CITS	International Conference on Computer Information  and Telecommunication Systems	B2
CIVTS	IEEE Symposium on Computational Intelligence in Vehicles and Transportation Systems	B4
CL4LC	Workshop on Computational Linguistics for Linguistic Complexity	B4
CLAIO	Latin-Ibero-American Conference on Operations Research	B5
CLEF	Conference and Labs of the Evaluation Forum	B2
CLEI	Conferencia Latinoamericana de Informíçtica	B3
CLIHC	Latin American Conference on Human Computer Interaction	B4
CLOSER	International Conference on Cloud Computing and Services Science	A2
CloudCom	IEEE International Conference on Cloud Computing Technology and Science	A1
CLOUDCOMPUTING	"International Conference on Cloud Computing	 GRIDs  and Virtualization"	B5
CloudNet	IEEE International Conference on Cloud Networking	B1
CLOUDTECH	International Conference on Cloud Computing Technologies and Applications	B4
CLUSTER	IEEE International Conference on Cluster Computing	A2
CMC	International Conference on Concept Mapping	B5
CMSB	International Conference on Computational Methods in Systems Biology	B1
CNSM	International Conference on Network and Service Management	A2
CobRA	International Workshop on Exploring Component-based Techniques for Constructing Reference Architectures	B5
COCOA	International Conference on Combinatorial Optimization and Applications	B2
COCOON	International Computing and Combinatorics Conference	B1
CODES+ISSS	International Conference on Hardware/Software Codesign and System Synthesis	A2
COGNISE	International Workshop on Cognitive Aspects of Information Systems Engineering	B4
COGNITIVE-IARIA	IARIA International Conference on Advanced Cognitive Technologies and Applications	B5
COGSCI	Annual Meeting of the Cognitive Science Society	B2
CogSIMA	IEEE International Multi-Disciplinary Conference on Cognitive Methods in Situation Awareness and Decision Support	B1
COIN	International Workshop on Coordination Organisations Institutions and Norms	B4
COLING	International Conference on Computational Linguistics	A2
COLOGNETWENTE	Cologne-Twente Workshop on Graphs and Combinatorial Optimization	B3
COMMA	International Conference on Computational Models of Argument	B1
COMPGEOM	International Symposium on Computational Geometry	A2
COMPIMAGE	International Symposium CompIMAGE	B3
COMPSAC	Annual International Computers Software & Applications Conference	A2
CompSysTech	International Conference on Computer Systems and Technologies	B2
COMSNETS	International Conference on COMmunication Systems & NETworkS	A2
COMSOC	International Workshop on Computational Social Choice	B5
CONCUR	International Conference on Concurrency Theory	A2
CONEXT	Conference on Emerging Network Experiment and Technology	A1
CONFIRM	International Conference on Information Resources Management	B4
CONTECSI	International Conference on Information Systems and Technology Management	B4
CONTEXT-BPM	International Workshop on Context for Business Process Management	B5
CoopIS	International Conference on Cooperative Information Systems	A2
CORAL	International Workshop on Emerging Cognitive Radio Applications and aLgorithms	B4
COSN	Conference on Online Social Networks	B2
COTB	Computer on The Beach	B4
CP	International Conference on Principles and Practice of Constraint Programming	A2
CPA	Communicating Process Architectures	B5
CPM	Annual Symposium on Combinatorial Pattern Matching	B1
CRIWG	International Conference on Collaboration and Technology	B3
CSC	SIAM Workshop on Combinatorial Scientific Computing	B4
CSCL	International Conference on Computer Supported Collaborative Learning	B5
CSCW	ACM Conference on Computer Supported Cooperative Work & Social Computing	A1
CSCWC	International Conference on Scientific Computing	B5
CSCWD	IEEE International Conference on Computer Supported Cooperative Work in Design	B1
CSE	International Conference on Computational Science and Engineering	B1
CSEDU	International Conference on Computer Supported Education	B1
CSEE&T	Conference on Software Engineering Education and Training	B1
CSF	IEEE Computer Security Foundations Symposium	A2
CSI-SE	International Workshop on Crowdsourcing in Software Engineering	B4
CSMR	European Conference on Software Maintenance and Reengineering	A2
CSNDSP	International Symposium on Communication Systems  Networks and Digital Signal Processing	B1
CT-RSA	RSA Conference Cryptographers Track	A2
CVPR	IEEE Conference on Computer Vision and Pattern Recognition	A1
CVPRW	IEEE Conference on Computer Vision and Pattern Recognition Workshops	B4
DAC	Design Automation Conference	A1
DAIS	International Conference on Distributed Applications and Interoperable Systems	B2
DaMNet	Workshop on Data Mining in Networks	B4
DARS	International Symposium on Distributed Autonomous Robotic Systems	B2
DAS	International Workshop on Document Analysis Systems	B1
DATAANALYTICS-IARIA	IARIA International Conference on Data Analytics	B5
DATE	Design Automation and Test in Europe Conference and Exhibition	A1
DAWAK	International Conference on Big Data Analytics and Knowledge Discovery	B1
DBKD-AIARIA	"IARIA International Conference on Advances in Databases	 Knowledge  and Data Applications"	B5
DCAI	International Symposium on Distributed Computing and Artificial Intelligence	B2
DCC	Data Compression Conference	B1
DCCW	ACM Workshop on Distributed Cloud Computing	B4
DCM	International Workshop on Developments in Computational Models	B5
DCOSS	International Conference on Distributed Computing in Sensor Systems	A2
DDECS	IEEE International Symposium on Design and Diagnostics of Electronic Circuits and Systems	B1
DEBS	International Conference on Distributed and Event-Based Systems	A2
DeMiMoP	Workshop on Decision Mining & Modeling for Business Processes	B4
DEPCOS	International Conference on Dependability and Complex Systems	B3
DESAFIE	Workshop de Desafios da Computaí_í£o Aplicada íæ Educaí_í£o	B5
DESE	International Conference on Developments in eSystems Engineering	B2
DESWEB	International Workshop on Data Engineering meets the Semantic Web	B4
DEXA	International Conference on Database and Expert Systems Applications	B1
DFT	IEEE International Symposium on Defect and Fault Tolerance in VLSI Systems	B1
DGO	Annual International Conference on Digital Government Research	B1
DH	Digital Heritage	B2
DHM	"International Conference on Digital Human Modeling, Applications in Health Safety Ergonomics and Risk Management"	B2
DILS	International Conference on Data Integration in Life Sciences	B2
DISN	Workshop on Dependability Issues on SDN and NFV	B4
DIVANET	ACM Symposium on Development and Analysis of Intelligent Vehicular Networks and Applications	B2
DMNPL	Workshop on Interactions between Data Mining and Natural Language Processing	B4
DMS	International Conference on Distributed Multimedia Systems	B3
DOCENG	ACM SIGWEB International Symposium on Document Engineering	B1
DOLAP	International Workshop On Data Warehousing and OLAP	B1
DRCN	International Conference on the Design of Reliable Communication Networks	B1
DroNet	"Workshop on Micro Aerial Vehicle Networks	 Systems  and Applications for Civilian Use"	B4
DS	International Conference on Discovery Science	B3
DSAA	IEEE International Conference on Data Science and Advanced Analytics	B3
DSAI	International Conference on Software Development for Enhancing Accessibility and Fighting Info-exclusion	B2
DSD	Euromicro Conference on Digital System Design	B1
DSN	Annual IEEE/IFIP International Conference on Dependable Systems and Networks	A1
DSNW	IEEE International Conference on Dependable Systems and Networks Workshops	B4
DSRT	IEEE/ACM International Symposium on Distributed Simulation and Real Time Applications	B1
DUXU	International Conference on Design User Experience and Usability: Interactive Experience Design	B2
DYNAK	International Workshop on Dynamic Networks and Knowledge Discovery	B4
EA	International Conference on Artificial Evolution	B5
EAIS	IEEE Conference on Evolving and Adaptive Intelligent Systems	B2
EANN	Internation Conference on Engineering Applications of Neural Networks	B3
EASE	International Conference on Evaluation and Assessment in Software Engineering	B1
EATIS	Euro American Conference on Telematics and Information Systems	B3
ECAI	European Conference on Artificial Intelligence	A2
ECAL	European Conference on Artificial Life	B1
ECC	European Control Conference	B2
ECCE	European Conference on Cognitive Ergonomics	B2
ECCTD	European Conference on Circuit Theory and Design	B1
ECCV	European Conference on Computer Vision	A1
ECIR	European Conference on Information Retrieval	A2
ECIS	European Conference on Information Systems	A2
ECMDAFA	European Conference on Modelling Foundations and Applications	B1
ECML	European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases	A1
ECMS	European Conference on Modelling and Simulation	B1
ECOOP	European Conference on Object-Oriented Programming	A2
ECRTS	Euromicro Conference on Real-Time Systems	A1
ECSA	European Conference on Software Architecture	B1
ECSAW	European Conference on Software Architecture Workshops	B4
ECSQARU	European Conference on Symbolic and Quantitative Approaches to Reasoning and Uncertainty	B1
ECTA	International Conference on Evolutionary Computation Theory and Applications	B5
ECTEL	European Conference on Technology Enhanced Learning	B1
ECWeb	International Conference on Electronic Commerce and Web Technologies	B3
EDBT	International Conference on Extending Database Technology	A1
EDCC	European Dependable Computing Conference	B3
EDM	International Conference on Educational Data Mining	A2
EDOC	IEEE International Enterprise Distributed Object Computing Conference	A2
EEEWC	International Conference on e-Learning e-Business Enterprise Information Systems and e-Government	B5
EGOV	International Conference on Electronic Government	B1
EGOVIS	International Conference on Electronic Government and the Information Systems Perspective	B2
EICS	ACM SIGCHI Symposium on Engineering Interactive Computing Systems	A2
EIS	SPIE Human Vision and Electronic Imaging	B5
eKNOW	IARIA International Conference on Information Process and Knowledge Management	B5
EMAS	International Workshop on Engineering Multiagent Systems	B4
EMBC	Annual International Conference of the IEEE Engineering in Medicine and Biology Society	B1
EMNLP	Conference on Empirical Methods in Natural Language Processing	A1
EMO	International Conference on Evolutionary Multi-Criterion Optimization	B1
ENASE	International Conference on Evaluation of Novel Approaches to Software Engineering	B2
EnDM	Workshop on Energy Data Management	B5
ENERGY-IARIA	IARIA International Conference on Smart Grids Green Communications and IT Energy-aware Technologies	B5
